sex,age_at_current_charge,age_at_first_charge,p_charges,p_incarceration,p_probation,p_juv_fel_count,p_felprop_viol,p_murder,p_felassault,p_misdeassault,p_sex_offense,p_weapon,p_fta_two_year,p_fta_two_year_plus,current_violence,current_violence20,p_pending_charge,p_felony,p_misdemeanor,p_violence,total_convictions,p_arrest,p_property,p_traffic,p_drug,p_dui,p_domestic,p_voyeurism,p_fraud,p_stealing,p_trespass,six_month,one_year,three_year,five_year,charge_types,charge_rate,conviction_rate,incarceration_rate,general_two_year,general_six_month,drug_two_year,property_two_year,misdemeanor_two_year,felony_two_year,violent_two_year,drug_six_month,property_six_month,misdemeanor_six_month,felony_six_month,violent_six_month
1,49,48,7,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,1,0,0,3,0,0,0,0,1,1,1,1,1,3,3.5,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0
1,19,19,6,0,0,0,3,0,0,0,0,0,0,0,1,1,0,4,0,2,4,0,3,0,0,0,0,0,0,3,0,1,1,1,1,4,6.0,0.6666666666666666,0.0,1,1,0,1,0,1,1,0,1,0,1,1
0,30,19,16,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,8,1,8,9,1,0,0,0,0,0,0,1,0,0,1,1,1,3,1.3333333333333333,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,26,20,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0.42857142857142855,0.6666666666666666,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,36,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.3333333333333333,0.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,16,9,0,1,0,0,0,1,2,0,0,0,0,1,0,2,0,3,1,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,4,0.9,0.3333333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0,0
1,50,28,22,0,5,0,1,0,1,0,0,2,0,0,0,0,6,3,7,2,10,16,1,1,0,0,0,0,0,1,0,1,1,1,1,7,0.9565217391304348,0.45454545454545453,0.0,1,1,0,0,1,0,0,0,0,1,0,0
1,20,19,5,1,0,0,0,0,1,0,0,0,3,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2.5,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0
1,25,21,10,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,6,0,6,6,0,0,4,0,0,0,0,0,0,1,1,1,1,2,2.0,0.6,0.0,1,0,1,0,1,0,0,0,0,0,0,0
1,22,16,7,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1.0,0.2857142857142857,0.0,0,0,0,0,0,0,0,0,0,0,0,0
